horizon,horizon_hours,train_samples,validation_samples,test_samples,n_features,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
24h,24,362210,76010,69898,145,14.862079774094418,20.53008075248501,0.48686797505551416,15.441708297725263,21.627185116673026,0.48972415326571417
48h,48,362003,75795,69702,145,17.931007993689185,24.312353115745466,0.27346642233844665,18.174648854028636,25.13622978197117,0.3044663540212833
72h,72,361787,75579,69520,145,19.09378879259461,25.83596669142493,0.17647534215731286,18.730112489636117,25.735885876436118,0.26553663152906093
7d,168,361067,74721,68732,145,19.548761172560155,26.249702150595077,0.13149097757843542,17.978285148150984,25.740477659031214,0.25334608911129053
14d,336,359656,73260,67248,145,20.378248051389008,27.567293173815084,0.030034085638424468,18.533763073035544,25.696530713831397,0.23162195435257726
30d,720,356399,69892,63866,145,19.24698188629242,26.052329214677158,0.10479996026742289,17.41666399977521,24.721609812121766,0.17565991708905526
