timestamp,actual_pm25,persistence_prediction,seasonal_prediction,xgboost_prediction
2016-11-15 14:00:00,118.0,154.0,59.06834249803614,68.896576
2016-11-15 15:00:00,143.0,163.0,59.06834249803614,71.38076
2016-11-15 16:00:00,162.0,151.0,59.06834249803614,75.36831
2016-11-15 17:00:00,162.0,142.0,59.06834249803614,67.901855
2016-11-15 18:00:00,174.0,135.0,59.06834249803614,67.27419
2016-11-15 19:00:00,171.0,113.0,59.06834249803614,64.82441
2016-11-15 20:00:00,164.0,107.0,59.06834249803614,71.358826
2016-11-15 21:00:00,153.0,110.0,59.06834249803614,76.65178
2016-11-15 22:00:00,150.0,119.0,59.06834249803614,78.27243
2016-11-15 23:00:00,160.0,114.0,59.06834249803614,80.85481
2016-11-16 00:00:00,140.0,121.0,59.06834249803614,73.28572
2016-11-16 01:00:00,163.0,129.0,59.06834249803614,80.387375
2016-11-16 02:00:00,187.0,116.0,59.06834249803614,78.736206
2016-11-16 11:00:00,101.0,142.0,59.06834249803614,72.46019
2016-11-16 19:00:00,122.0,152.0,59.06834249803614,61.790867
2016-11-16 20:00:00,84.0,150.0,59.06834249803614,59.8045
2016-11-16 21:00:00,76.0,140.0,59.06834249803614,62.393497
2016-11-16 22:00:00,75.0,116.0,59.06834249803614,64.697395
2016-11-17 00:00:00,76.0,138.0,59.06834249803614,63.50801
2016-11-17 01:00:00,85.0,135.0,59.06834249803614,64.96426
2016-11-17 02:00:00,97.0,144.0,59.06834249803614,56.984467
2016-11-17 03:00:00,95.0,144.0,59.06834249803614,56.37916
2016-11-17 04:00:00,101.0,122.0,59.06834249803614,53.96312
2016-11-17 05:00:00,109.0,106.0,59.06834249803614,53.418816
2016-11-17 06:00:00,112.0,108.0,59.06834249803614,51.08491
2016-11-17 07:00:00,93.0,91.0,59.06834249803614,50.519623
2016-11-17 08:00:00,92.0,102.0,59.06834249803614,54.109737
2016-11-17 09:00:00,81.0,99.0,59.06834249803614,56.21966
2016-11-17 10:00:00,106.0,98.0,59.06834249803614,59.603096
2016-11-17 11:00:00,122.0,120.0,59.06834249803614,71.89377
2016-11-17 12:00:00,130.0,95.0,59.06834249803614,65.08818
2016-11-17 13:00:00,127.0,97.0,59.06834249803614,68.09533
2016-11-17 14:00:00,134.0,98.0,59.06834249803614,65.7385
2016-11-17 15:00:00,155.0,116.0,59.06834249803614,70.61272
2016-11-17 16:00:00,138.0,120.0,59.06834249803614,72.0562
2016-11-17 17:00:00,134.0,128.0,59.06834249803614,65.59681
2016-11-17 18:00:00,138.0,121.0,59.06834249803614,67.277275
2016-11-17 19:00:00,141.0,125.0,59.06834249803614,63.65182
2016-11-17 20:00:00,135.0,130.0,59.06834249803614,60.68022
2016-11-17 21:00:00,142.0,107.0,59.06834249803614,62.1824
2016-11-17 23:00:00,145.0,141.0,59.06834249803614,60.748436
2016-11-18 00:00:00,148.0,135.0,59.06834249803614,60.174725
2016-11-18 01:00:00,140.0,160.0,59.06834249803614,59.415863
2016-11-18 02:00:00,148.0,177.0,59.06834249803614,58.28801
2016-11-18 03:00:00,152.0,173.0,59.06834249803614,62.03727
2016-11-18 04:00:00,153.0,172.0,59.06834249803614,59.545853
2016-11-18 05:00:00,146.0,174.0,59.06834249803614,58.980076
2016-11-18 06:00:00,134.0,164.0,59.06834249803614,59.62817
2016-11-18 07:00:00,135.0,133.0,59.06834249803614,61.51156
2016-11-18 08:00:00,110.0,141.0,59.06834249803614,63.776817
2016-11-18 09:00:00,112.0,140.0,59.06834249803614,65.33266
2016-11-18 10:00:00,130.0,133.0,59.06834249803614,70.41834
2016-11-18 12:00:00,113.0,141.0,59.06834249803614,80.503944
2016-11-18 13:00:00,114.0,130.0,59.06834249803614,85.36491
2016-11-18 14:00:00,113.0,105.0,59.06834249803614,83.990715
2016-11-18 15:00:00,109.0,117.0,59.06834249803614,86.7864
