horizon,horizon_hours,best_configuration,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
48h,48,stronger_regularization,54.5940026406625,67.70475629493053,-0.45587783151471784,50.10315503935883,71.00544769143981,-0.40603475963641045
72h,72,subsample_regularized,54.42741919905328,64.27942660731456,-0.26334492122262954,48.809874295897245,66.48984647863159,-0.21467677084414638
7d,168,lower_learning_rate,46.33375120448495,61.07451746947127,-0.18132129737014657,52.50046000284345,74.10620027981074,-0.3723378597963283
14d,336,shallower,45.83960184877218,57.41585282979463,-0.45399933633388545,56.44259615895251,72.56975681394714,-0.2877005707337206
30d,720,deeper,64.11538688582603,72.24445689095664,-1.2719040451733301,49.66318157919092,64.09208223366566,-0.3180725489475973
