location,city,country,latitude,longitude,parameter,value,unit,date_utc,raw_measurement
,,,14.675885999999998,77.593027,pm25,86.11,µg/m³,2022-10-31T01:45:00Z,"{""datetime"": {""utc"": ""2022-10-31T01:45:00Z"", ""local"": ""2022-10-31T07:15:00+05:30""}, ""value"": 86.11, ""coordinates"": {""latitude"": 14.675885999999998, ""longitude"": 77.593027}, ""sensorsId"": 2028432, ""locationsId"": 358456}"
,,,41.130195,-8.423484,pm25,0.0,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T11:00:00+01:00""}, ""value"": 0.0, ""coordinates"": {""latitude"": 41.130195, ""longitude"": -8.423484}, ""sensorsId"": 16292329, ""locationsId"": 6353390}"
,,,-27.090836,150.400418,pm25,-9999.0,µg/m³,2024-05-27T02:00:00Z,"{""datetime"": {""utc"": ""2024-05-27T02:00:00Z"", ""local"": ""2024-05-27T12:00:00+10:00""}, ""value"": -9999.0, ""coordinates"": {""latitude"": -27.090836, ""longitude"": 150.400418}, ""sensorsId"": 9381416, ""locationsId"": 2868409}"
,,,-14.49654,-71.776884,pm25,6.3,µg/m³,2025-01-08T11:45:00Z,"{""datetime"": {""utc"": ""2025-01-08T11:45:00Z"", ""local"": ""2025-01-08T06:45:00-05:00""}, ""value"": 6.3, ""coordinates"": {""latitude"": -14.49654, ""longitude"": -71.776884}, ""sensorsId"": 9959962, ""locationsId"": 2954096}"
,,,39.403903,-120.195751,pm25,1.0,µg/m³,2020-01-09T16:00:00Z,"{""datetime"": {""utc"": ""2020-01-09T16:00:00Z"", ""local"": ""2020-01-09T08:00:00-08:00""}, ""value"": 1.0, ""coordinates"": {""latitude"": 39.403903, ""longitude"": -120.195751}, ""sensorsId"": 20581, ""locationsId"": 7146}"
,,,-41.928,147.491,pm25,0.0,µg/m³,2025-11-27T12:52:07Z,"{""datetime"": {""utc"": ""2025-11-27T12:52:07Z"", ""local"": ""2025-11-27T23:52:07+11:00""}, ""value"": 0.0, ""coordinates"": {""latitude"": -41.928, ""longitude"": 147.491}, ""sensorsId"": 14439, ""locationsId"": 5472}"
,,,40.48477,-80.09495,pm25,8.8,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T06:00:00-04:00""}, ""value"": 8.8, ""coordinates"": {""latitude"": 40.48477, ""longitude"": -80.09495}, ""sensorsId"": 9381396, ""locationsId"": 2868408}"
,,,26.1403345,85.3650192,pm25,14.0,µg/m³,2026-08-04T05:30:00Z,"{""datetime"": {""utc"": ""2026-08-04T05:30:00Z"", ""local"": ""2026-08-04T11:00:00+05:30""}, ""value"": 14.0, ""coordinates"": {""latitude"": 26.1403345, ""longitude"": 85.3650192}, ""sensorsId"": 12241395, ""locationsId"": 229987}"
,,,12.21041,76.37376,pm25,18.34,µg/m³,2026-08-04T07:45:00Z,"{""datetime"": {""utc"": ""2026-08-04T07:45:00Z"", ""local"": ""2026-08-04T13:15:00+05:30""}, ""value"": 18.34, ""coordinates"": {""latitude"": 12.21041, ""longitude"": 76.37376}, ""sensorsId"": 12241384, ""locationsId"": 7289}"
,,,50.1009772,-122.9864273,pm25,8.2,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T03:00:00-07:00""}, ""value"": 8.2, ""coordinates"": {""latitude"": 50.1009772, ""longitude"": -122.9864273}, ""sensorsId"": 9966667, ""locationsId"": 2955245}"
