location,city,country,latitude,longitude,parameter,value,unit,date_utc
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.389983000188224,4.88781099987638,,,,
,,"{'id': 3, 'code': 'CL', 'name': 'Chile'}",-37.008669,-73.148086,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.3705,4.64232,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.38829100007745,6.402899999997742,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",51.5475,5.8382,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",51.5359,5.80859,,,,
,,"{'id': 47, 'code': 'MN', 'name': 'Mongolia'}",47.8943389,106.8824722,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",51.8414,5.85778,,,,
,,"{'id': 111, 'code': 'TH', 'name': 'Thailand'}",13.775373291477,100.56892844813,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.35971400001388,4.866208000411839,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.49399200004851,4.601986000379324,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.463040000051045,4.60177600031704,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.39397200025616,4.870156999790721,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",50.8598,5.71381,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.33400300025121,4.7740060003231,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.42801700027339,4.7734780002434976,,,,
,,"{'id': 94, 'code': 'NL', 'name': 'Netherlands'}",52.381331000231505,4.845232999687698,,,,
,,"{'id': 9, 'code': 'IN', 'name': 'India'}",28.623499999999996,77.2494,,,,
,,"{'id': 111, 'code': 'TH', 'name': 'Thailand'}",13.664087,100.543436,,,,
,,"{'id': 3, 'code': 'CL', 'name': 'Chile'}",-32.833639,-70.99693,,,,
,,"{'id': 79, 'code': 'GB', 'name': 'United Kingdom'}",51.617327,-0.298775,,,,
,,"{'id': 111, 'code': 'TH', 'name': 'Thailand'}",13.792635009230002,100.59607755884001,,,,
,,"{'id': 3, 'code': 'CL', 'name': 'Chile'}",-20.259620485825,-70.088653564453,,,,
,,"{'id': 3, 'code': 'CL', 'name': 'Chile'}",-20.290859340668,-70.09955406189,,,,
,,"{'id': 79, 'code': 'GB', 'name': 'United Kingdom'}",51.48878999962389,-0.44161399993549455,,,,
,,"{'id': 10, 'code': 'CN', 'name': 'China'}",30.63,104.07,,,,
,,"{'id': 10, 'code': 'CN', 'name': 'China'}",31.21,121.44,,,,
,,"{'id': 10, 'code': 'CN', 'name': 'China'}",23.12,113.32,,,,
,,"{'id': 3, 'code': 'CL', 'name': 'Chile'}",-22.087,-70.193253,,,,
,,"{'id': 79, 'code': 'GB', 'name': 'United Kingdom'}",51.4804989994662,-0.059550000208953166,,,,
,,"{'id': 79, 'code': 'GB', 'name': 'United Kingdom'}",51.45258,0.070766,,,,
,,"{'id': 79, 'code': 'GB', 'name': 'United Kingdom'}",51.52228999923011,-0.12588900021133392,,,,
,,"{'id': 79, 'code': 'GB', 'name': 'United Kingdom'}",51.51895,-0.265617,,,,
,,"{'id': 79, 'code': 'GB', 'name': 'United Kingdom'}",51.58412799971813,-0.1252540000016108,,,,
