horizon,horizon_hours,train_rows,validation_rows,test_rows,features,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
48h,48,5695,1221,1221,63,42.45419877948183,54.37964348350659,0.05726913478253093,45.305147850542745,62.27974971299859,-0.11160327370345446
72h,72,5679,1217,1217,63,38.783401451643705,49.64759377558397,0.21671568784680706,45.471630666916155,60.29059639592645,-0.03893939408466229
7d,168,5612,1203,1203,63,42.94587838481291,53.40257914047037,0.10804020291965832,45.582857967513064,60.19319992314029,-0.02935270060357298
14d,336,5498,1178,1179,63,43.93954979503094,57.385904855712454,-0.09281029115082085,47.602720564760524,64.54883449962863,-0.16943367451134672
30d,720,5257,1127,1127,63,55.169374056378615,68.01166913111211,-0.7679502529600737,51.3946264041877,66.1774905975566,-0.1831896866299081
