horizon,horizon_hours,train_rows,validation_rows,test_rows,features,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2,purge_hours
48h,48,5647,1173,1221,63,43.63235084683287,55.53608288549406,0.039679107582081485,46.42461006608193,62.377349013677744,-0.11509001576435418,48
72h,72,5607,1145,1217,63,41.51412676015796,52.43821379490669,0.1589324555248225,44.629058975809016,59.635312019633865,-0.01647814601807651,72
7d,168,5444,1035,1203,63,51.153353505894756,63.78733553757225,-0.2412556475051275,50.05857556121902,67.37454201716186,-0.2896177367391637,168
14d,336,5162,842,1179,63,43.116611122801864,57.869799865430124,-0.2577698762274505,52.28352687275945,70.67498741875764,-0.40194270501351936,336
30d,720,4537,407,1127,63,54.641541989488154,69.80946733843828,-0.6616811218410059,51.841161221874,67.15709260166406,-0.2184776227057863,720
