horizon,horizon_hours,train_samples,validation_samples,test_samples,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
48h,48,362003,75795,69702,18.399549135346156,25.517562614574064,0.19964976084898067,17.867311526451736,24.561788550300864,0.3358933264545244
72h,72,361787,75579,69520,18.968126793121215,26.188729747192458,0.15383307939138147,18.276454366858452,25.425735961783726,0.283132384867135
7d,168,361067,74721,68732,19.13787759989144,26.22913556974592,0.132851394043761,18.33516182866799,26.032410690381028,0.2363138489536618
14d,336,359656,73260,67248,20.069555083285778,27.564431748934737,0.030235435878966377,18.099106829740194,25.548037497290764,0.24047678814712126
30d,720,356399,69892,63866,19.34004154839404,27.08673258770019,0.0323011652839591,17.037360169521474,24.03132038832558,0.22105249682992
