model,horizon,horizon_hours,train_samples,validation_samples,test_samples,mae,rmse,r2
V4-A Temporal XGBoost,48h,48,362425,76168,69702,17.90277589091591,24.66764194283024,0.3301568203370018
V4-A Temporal XGBoost,72h,72,362425,76134,69520,18.252221661195655,25.358896862927377,0.2868964297973775
V4-A Temporal XGBoost,7d,168,362563,76064,68732,18.164783810959396,25.716649290722156,0.2547278279947913
V4-A Temporal XGBoost,14d,336,362613,76087,67248,18.15555213758726,25.620470945385467,0.2361639031456808
V4-A Temporal XGBoost,30d,720,362724,76101,63866,17.197486695153817,24.15650015530704,0.21291624568633094
