horizon,horizon_hours,train_samples,validation_samples,test_samples,n_features,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
48h,48,362003,75795,69702,100,18.0526689239818,25.102144243310928,0.22549657530957523,18.333046008687408,25.386828724462216,0.29052879448950397
72h,72,361787,75579,69520,100,19.228519591374877,25.857534035539125,0.17509984471556128,19.008702620154008,26.01538955230118,0.24949677506985402
7d,168,361067,74721,68732,100,19.36354595446277,25.68099492368529,0.16871630050825903,18.080213253428216,25.85837546946575,0.2464907028601402
14d,336,359656,73260,67248,100,20.489727861849364,27.73608707006766,0.018119563236420055,18.441701299848372,25.7912710584622,0.22594565525109334
30d,720,356399,69892,63866,100,19.752303640403614,26.767493981549833,0.054976942249903904,17.384539926727413,24.62115035435094,0.18234592970732832
