horizon,horizon_hours,train_samples,validation_samples,test_samples,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
24h,24,362210,76010,69898,16.244947305506454,22.329664956120222,0.3929671156053772,16.30292862472615,22.79790614926559,0.43298448839873926
48h,48,362003,75795,69702,18.730297944301203,25.5920395982057,0.1949710491943808,18.363421574445358,25.19173782869766,0.30139108434549655
72h,72,361787,75579,69520,19.339768540598847,26.333558295990603,0.14444828004618293,18.690865850307702,25.764025842820068,0.2639296090383132
7d,168,361067,74721,68732,19.505202900901185,25.931921590681473,0.15239214237291898,18.139226473983285,25.475974532065138,0.2686121307509385
14d,336,359656,73260,67248,19.990780125265477,26.817335483911208,0.08209132738003488,18.082514396985452,25.087791582347528,0.2675957979959568
30d,720,356399,69892,63866,19.79772387327492,26.780805947824696,0.05403675388236184,17.415168549456542,23.794912683450146,0.23630287893254154
