horizon,horizon_hours,stations,forecast_origins,mae,rmse,r2
48h,48,9,96,43.088717267147935,54.10950227917142,-1.1412217617663227
72h,72,9,96,53.019823742871495,67.18493871951685,-2.316359953215297
7d,168,9,98,92.77371542484775,121.03067193744275,-37.63409261426364
14d,336,9,98,188.6518365280676,245.6591025000216,-37.60104087688549
30d,720,9,98,368.2322800919557,491.6515178560316,-810.9757196611836
