station_code,station_name,year,horizon,horizon_hours,predictor,total_rows,target_available_samples,predictor_available_samples,usable_samples,usable_pct
1431A,JQLH,2021,72h,72,PM10,8049,7491,7796,7482,92.95564666418188
1431A,JQLH,2015,72h,72,SO2,8760,7576,8131,7574,86.46118721461187
1431A,JQLH,2016,72h,72,SO2,8784,8223,8507,8218,93.55646630236795
1431A,JQLH,2017,72h,72,SO2,8760,8309,8539,8294,94.68036529680364
1431A,JQLH,2018,72h,72,SO2,8760,7715,8152,7681,87.68264840182648
1431A,JQLH,2019,72h,72,SO2,8760,7919,8297,7870,89.84018264840182
1431A,JQLH,2020,72h,72,SO2,8784,7971,8371,7929,90.26639344262296
1431A,JQLH,2021,72h,72,SO2,8049,7491,7809,7451,92.57050565287614
1431A,JQLH,2015,72h,72,NO2,8760,7576,8132,7574,86.46118721461187
1431A,JQLH,2016,72h,72,NO2,8784,8223,8506,8218,93.55646630236795
1431A,JQLH,2017,72h,72,NO2,8760,8309,8514,8273,94.44063926940639
1431A,JQLH,2018,72h,72,NO2,8760,7715,8141,7673,87.59132420091325
1431A,JQLH,2019,72h,72,NO2,8760,7919,8249,7828,89.3607305936073
1431A,JQLH,2020,72h,72,NO2,8784,7971,8375,7928,90.25500910746813
1431A,JQLH,2021,72h,72,NO2,8049,7491,7814,7456,92.63262517082867
1431A,JQLH,2015,72h,72,O3-8h,8760,7576,8130,7571,86.42694063926942
1431A,JQLH,2016,72h,72,O3-8h,8784,8223,8510,8222,93.60200364298726
1431A,JQLH,2017,72h,72,O3-8h,8760,8309,8540,8291,94.64611872146119
1431A,JQLH,2018,72h,72,O3-8h,8760,7715,8199,7715,88.07077625570776
1431A,JQLH,2019,72h,72,O3-8h,8760,7919,8357,7918,90.38812785388129
1431A,JQLH,2020,72h,72,O3-8h,8784,7971,8448,7971,90.74453551912568
1431A,JQLH,2021,72h,72,O3-8h,8049,7491,7767,7380,91.68840849795006
1431A,JQLH,2015,72h,72,CO,8760,7576,8135,7576,86.48401826484017
1431A,JQLH,2016,72h,72,CO,8784,8223,8510,8222,93.60200364298726
1431A,JQLH,2017,72h,72,CO,8760,8309,8516,8273,94.44063926940639
1431A,JQLH,2018,72h,72,CO,8760,7715,8165,7694,87.8310502283105
1431A,JQLH,2019,72h,72,CO,8760,7919,8299,7874,89.88584474885845
1431A,JQLH,2020,72h,72,CO,8784,7971,8377,7930,90.27777777777779
1431A,JQLH,2021,72h,72,CO,8049,7491,7799,7450,92.55808174928562
1431A,JQLH,2015,72h,72,U10,8760,7576,8753,7576,86.48401826484017
1431A,JQLH,2016,72h,72,U10,8784,8223,8784,8223,93.61338797814209
1431A,JQLH,2017,72h,72,U10,8760,8309,8760,8309,94.85159817351598
