station_code,station_name,original_rows,rows_after_filter,first_timestamp,last_timestamp,expected_hourly_rows,timestamp_coverage_pct,duplicate_timestamps,invalid_timestamps
1431A,JQLH,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
1432A,SLD,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
1433A,SWY,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
1434A,SHP,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
1437A,JPJ,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
1438A,LYS,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
2880A,DSXL,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
3136A,LQXQ,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
3358A,LJL,60657,60657,2015-01-01,2021-12-02 08:00:00,60657,100.0,0,0
