station_code,station_name,year,rows,variable,missing_count,missing_pct
1432A,SLD,2017,8760,O3-8h,191,2.180365296803653
1432A,SLD,2017,8760,CO,194,2.214611872146119
1432A,SLD,2017,8760,U10,0,0.0
1432A,SLD,2017,8760,V10,0,0.0
1432A,SLD,2017,8760,T2,0,0.0
1432A,SLD,2017,8760,RH2,0,0.0
1432A,SLD,2017,8760,PBLH,0,0.0
1432A,SLD,2018,8760,AQI,600,6.8493150684931505
1432A,SLD,2018,8760,PM2.5,592,6.757990867579909
1432A,SLD,2018,8760,PM10,685,7.819634703196347
1432A,SLD,2018,8760,SO2,625,7.134703196347032
1432A,SLD,2018,8760,NO2,652,7.442922374429224
1432A,SLD,2018,8760,O3-8h,569,6.495433789954339
1432A,SLD,2018,8760,CO,621,7.089041095890411
1432A,SLD,2018,8760,U10,0,0.0
1432A,SLD,2018,8760,V10,0,0.0
1432A,SLD,2018,8760,T2,0,0.0
1432A,SLD,2018,8760,RH2,0,0.0
1432A,SLD,2018,8760,PBLH,0,0.0
1432A,SLD,2019,8760,AQI,967,11.038812785388128
1432A,SLD,2019,8760,PM2.5,966,11.027397260273974
1432A,SLD,2019,8760,PM10,1075,12.271689497716896
1432A,SLD,2019,8760,SO2,960,10.95890410958904
1432A,SLD,2019,8760,NO2,1004,11.461187214611872
1432A,SLD,2019,8760,O3-8h,827,9.440639269406393
1432A,SLD,2019,8760,CO,979,11.17579908675799
1432A,SLD,2019,8760,U10,0,0.0
1432A,SLD,2019,8760,V10,0,0.0
1432A,SLD,2019,8760,T2,0,0.0
1432A,SLD,2019,8760,RH2,0,0.0
1432A,SLD,2019,8760,PBLH,0,0.0
1432A,SLD,2020,8784,AQI,404,4.599271402550091
1432A,SLD,2020,8784,PM2.5,294,3.346994535519126
1432A,SLD,2020,8784,PM10,279,3.1762295081967213
1432A,SLD,2020,8784,SO2,256,2.914389799635701
1432A,SLD,2020,8784,NO2,315,3.5860655737704916
1432A,SLD,2020,8784,O3-8h,216,2.459016393442623
1432A,SLD,2020,8784,CO,301,3.426684881602914
1432A,SLD,2020,8784,U10,0,0.0
1432A,SLD,2020,8784,V10,0,0.0
1432A,SLD,2020,8784,T2,0,0.0
1432A,SLD,2020,8784,RH2,0,0.0
1432A,SLD,2020,8784,PBLH,0,0.0
1432A,SLD,2021,8049,AQI,340,4.2241272207727665
1432A,SLD,2021,8049,PM2.5,184,2.285998260653497
1432A,SLD,2021,8049,PM10,144,1.7890421170331718
1432A,SLD,2021,8049,SO2,161,2.00024847807181
1432A,SLD,2021,8049,NO2,199,2.4723568145111194
1432A,SLD,2021,8049,O3-8h,252,3.130823704808051
1432A,SLD,2021,8049,CO,162,2.012672381662318
1432A,SLD,2021,8049,U10,1,0.012423903590508137
1432A,SLD,2021,8049,V10,1,0.012423903590508137
1432A,SLD,2021,8049,T2,1,0.012423903590508137
1432A,SLD,2021,8049,RH2,0,0.0
1432A,SLD,2021,8049,PBLH,1,0.012423903590508137
1433A,SWY,2015,8760,AQI,573,6.541095890410959
1433A,SWY,2015,8760,PM2.5,576,6.575342465753424
1433A,SWY,2015,8760,PM10,587,6.700913242009133
1433A,SWY,2015,8760,SO2,577,6.5867579908675795
1433A,SWY,2015,8760,NO2,575,6.56392694063927
1433A,SWY,2015,8760,O3-8h,575,6.56392694063927
1433A,SWY,2015,8760,CO,581,6.632420091324201
1433A,SWY,2015,8760,U10,7,0.07990867579908677
1433A,SWY,2015,8760,V10,7,0.07990867579908677
1433A,SWY,2015,8760,T2,7,0.07990867579908677
1433A,SWY,2015,8760,RH2,7,0.07990867579908677
1433A,SWY,2015,8760,PBLH,7,0.07990867579908677
1433A,SWY,2016,8784,AQI,264,3.0054644808743167
1433A,SWY,2016,8784,PM2.5,276,3.1420765027322406
1433A,SWY,2016,8784,PM10,326,3.711293260473588
1433A,SWY,2016,8784,SO2,255,2.9030054644808745
1433A,SWY,2016,8784,NO2,254,2.8916211293260474
1433A,SWY,2016,8784,O3-8h,253,2.8802367941712204
1433A,SWY,2016,8784,CO,253,2.8802367941712204
1433A,SWY,2016,8784,U10,0,0.0
1433A,SWY,2016,8784,V10,0,0.0
1433A,SWY,2016,8784,T2,0,0.0
1433A,SWY,2016,8784,RH2,0,0.0
1433A,SWY,2016,8784,PBLH,0,0.0
1433A,SWY,2017,8760,AQI,225,2.5684931506849313
1433A,SWY,2017,8760,PM2.5,226,2.5799086757990866
1433A,SWY,2017,8760,PM10,270,3.0821917808219177
1433A,SWY,2017,8760,SO2,234,2.671232876712329
1433A,SWY,2017,8760,NO2,239,2.7283105022831053
1433A,SWY,2017,8760,O3-8h,235,2.682648401826484
1433A,SWY,2017,8760,CO,231,2.636986301369863
1433A,SWY,2017,8760,U10,0,0.0
1433A,SWY,2017,8760,V10,0,0.0
1433A,SWY,2017,8760,T2,0,0.0
1433A,SWY,2017,8760,RH2,0,0.0
1433A,SWY,2017,8760,PBLH,0,0.0
1433A,SWY,2018,8760,AQI,651,7.431506849315069
1433A,SWY,2018,8760,PM2.5,679,7.751141552511416
1433A,SWY,2018,8760,PM10,828,9.452054794520548
