station_code,station_name,year,horizon,horizon_hours,total_rows,usable_samples,unusable_samples,usable_pct
1433A,SWY,2020,14d,336,8784,8163,621,92.93032786885246
1433A,SWY,2021,14d,336,8049,7445,604,92.49596223133308
1433A,SWY,2015,30d,720,8760,7724,1036,88.17351598173516
1433A,SWY,2016,30d,720,8784,8224,560,93.6247723132969
1433A,SWY,2017,30d,720,8760,8313,447,94.8972602739726
1433A,SWY,2018,30d,720,8760,7435,1325,84.8744292237443
1433A,SWY,2019,30d,720,8760,7586,1174,86.59817351598174
1433A,SWY,2020,30d,720,8784,8147,637,92.74817850637523
1433A,SWY,2021,30d,720,8049,7073,976,87.87427009566406
1434A,SHP,2015,48h,48,8760,7672,1088,87.57990867579909
1434A,SHP,2016,48h,48,8784,8304,480,94.53551912568307
1434A,SHP,2017,48h,48,8760,8327,433,95.05707762557077
1434A,SHP,2018,48h,48,8760,7759,1001,88.57305936073058
1434A,SHP,2019,48h,48,8760,7450,1310,85.04566210045662
1434A,SHP,2020,48h,48,8784,8195,589,93.29462659380692
1434A,SHP,2021,48h,48,8049,7714,335,95.83799229717978
1434A,SHP,2015,72h,72,8760,7673,1087,87.59132420091325
1434A,SHP,2016,72h,72,8784,8290,494,94.37613843351548
1434A,SHP,2017,72h,72,8760,8321,439,94.98858447488584
1434A,SHP,2018,72h,72,8760,7679,1081,87.65981735159816
1434A,SHP,2019,72h,72,8760,7411,1349,84.60045662100457
1434A,SHP,2020,72h,72,8784,8199,585,93.34016393442623
1434A,SHP,2021,72h,72,8049,7690,359,95.53981861100758
1434A,SHP,2015,7d,168,8760,7686,1074,87.73972602739725
1434A,SHP,2016,7d,168,8784,8295,489,94.43306010928961
1434A,SHP,2017,7d,168,8760,8309,451,94.85159817351598
1434A,SHP,2018,7d,168,8760,7616,1144,86.94063926940639
1434A,SHP,2019,7d,168,8760,7419,1341,84.6917808219178
1434A,SHP,2020,7d,168,8784,8200,584,93.35154826958106
1434A,SHP,2021,7d,168,8049,7598,451,94.39681948068083
1434A,SHP,2015,14d,336,8760,7697,1063,87.86529680365297
1434A,SHP,2016,14d,336,8784,8291,493,94.38752276867031
1434A,SHP,2017,14d,336,8760,8297,463,94.71461187214612
1434A,SHP,2018,14d,336,8760,7601,1159,86.76940639269407
1434A,SHP,2019,14d,336,8760,7353,1407,83.93835616438356
1434A,SHP,2020,14d,336,8784,8234,550,93.73861566484517
1434A,SHP,2021,14d,336,8049,7438,611,92.40899490619952
1434A,SHP,2015,30d,720,8760,7714,1046,88.05936073059361
1434A,SHP,2016,30d,720,8784,8286,498,94.33060109289617
1434A,SHP,2017,30d,720,8760,8294,466,94.68036529680364
1434A,SHP,2018,30d,720,8760,7526,1234,85.91324200913242
1434A,SHP,2019,30d,720,8760,7394,1366,84.40639269406392
1434A,SHP,2020,30d,720,8784,8243,541,93.84107468123861
1434A,SHP,2021,30d,720,8049,7092,957,88.11032426388371
1437A,JPJ,2015,48h,48,8760,7650,1110,87.32876712328768
1437A,JPJ,2016,48h,48,8784,8335,449,94.88843351548269
1437A,JPJ,2017,48h,48,8760,8270,490,94.40639269406392
1437A,JPJ,2018,48h,48,8760,7861,899,89.73744292237443
1437A,JPJ,2019,48h,48,8760,7883,877,89.98858447488584
1437A,JPJ,2020,48h,48,8784,8333,451,94.86566484517304
1437A,JPJ,2021,48h,48,8049,7627,422,94.75711268480556
1437A,JPJ,2015,72h,72,8760,7655,1105,87.38584474885845
1437A,JPJ,2016,72h,72,8784,8325,459,94.77459016393442
1437A,JPJ,2017,72h,72,8760,8264,496,94.337899543379
1437A,JPJ,2018,72h,72,8760,7771,989,88.71004566210046
1437A,JPJ,2019,72h,72,8760,7853,907,89.64611872146119
1437A,JPJ,2020,72h,72,8784,8336,448,94.89981785063752
1437A,JPJ,2021,72h,72,8049,7606,443,94.49621070940489
1437A,JPJ,2015,7d,168,8760,7674,1086,87.6027397260274
1437A,JPJ,2016,7d,168,8784,8330,454,94.83151183970855
1437A,JPJ,2017,7d,168,8760,8264,496,94.337899543379
1437A,JPJ,2018,7d,168,8760,7683,1077,87.70547945205479
1437A,JPJ,2019,7d,168,8760,7882,878,89.9771689497717
1437A,JPJ,2020,7d,168,8784,8348,436,95.03642987249545
1437A,JPJ,2021,7d,168,8049,7561,488,93.93713504783203
1437A,JPJ,2015,14d,336,8760,7683,1077,87.70547945205479
1437A,JPJ,2016,14d,336,8784,8323,461,94.75182149362477
1437A,JPJ,2017,14d,336,8760,8268,492,94.3835616438356
1437A,JPJ,2018,14d,336,8760,7672,1088,87.57990867579909
1437A,JPJ,2019,14d,336,8760,7835,925,89.4406392694064
1437A,JPJ,2020,14d,336,8784,8337,447,94.91120218579235
1437A,JPJ,2021,14d,336,8049,7406,643,92.01142999130327
