horizon,horizon_hours,train_samples,validation_samples,test_samples,mae,rmse,r2
24h,24,345015,73828,67923,17.70180940182265,25.78184843278739,0.27203096920241054
48h,48,344342,73602,67563,22.199754303390907,31.35129439572528,-0.07996303982298447
72h,72,342942,73512,67319,24.55260773332937,34.287116195336814,-0.3142436149838286
7d,168,342253,73390,66578,24.030790951966114,34.72806258604421,-0.36361602762399703
14d,336,341526,73435,65157,24.04443114323864,34.495352216705044,-0.39826613967534974
30d,720,341623,73370,61952,23.398921745867767,32.85852291885761,-0.4791448550736146
