station_code,station_name,year,horizon,horizon_hours,total_rows,usable_samples,usable_pct
1438A,LYS,2016,30d,720,8784,7171,81.63706739526411
1438A,LYS,2017,30d,720,8760,7432,84.84018264840184
1438A,LYS,2018,30d,720,8760,6050,69.06392694063926
1438A,LYS,2019,30d,720,8760,6440,73.51598173515981
1438A,LYS,2020,30d,720,8784,7223,82.22905282331512
1438A,LYS,2021,30d,720,8049,6020,74.79189961485899
2880A,DSXL,2015,48h,48,8760,5496,62.73972602739726
2880A,DSXL,2016,48h,48,8784,6698,76.25227686703097
2880A,DSXL,2017,48h,48,8760,7848,89.58904109589041
2880A,DSXL,2018,48h,48,8760,7802,89.06392694063928
2880A,DSXL,2019,48h,48,8760,7822,89.29223744292237
2880A,DSXL,2020,48h,48,8784,8138,92.64571948998179
2880A,DSXL,2021,48h,48,8049,7182,89.22847558702944
2880A,DSXL,2015,72h,72,8760,5484,62.6027397260274
2880A,DSXL,2016,72h,72,8784,6683,76.08151183970855
2880A,DSXL,2017,72h,72,8760,7840,89.49771689497716
2880A,DSXL,2018,72h,72,8760,7711,88.02511415525115
2880A,DSXL,2019,72h,72,8760,7791,88.93835616438356
2880A,DSXL,2020,72h,72,8784,8142,92.69125683060109
2880A,DSXL,2021,72h,72,8049,7152,88.85575847931419
2880A,DSXL,2015,7d,168,8760,5513,62.933789954337904
2880A,DSXL,2016,7d,168,8784,6690,76.16120218579235
2880A,DSXL,2017,7d,168,8760,7838,89.47488584474887
2880A,DSXL,2018,7d,168,8760,7624,87.03196347031964
2880A,DSXL,2019,7d,168,8760,7814,89.20091324200912
2880A,DSXL,2020,7d,168,8784,8148,92.75956284153006
2880A,DSXL,2021,7d,168,8049,7089,88.07305255311219
2880A,DSXL,2015,14d,336,8760,5548,63.33333333333333
2880A,DSXL,2016,14d,336,8784,6681,76.05874316939891
2880A,DSXL,2017,14d,336,8760,7827,89.34931506849315
2880A,DSXL,2018,14d,336,8760,7597,86.72374429223744
2880A,DSXL,2019,14d,336,8760,7762,88.60730593607306
2880A,DSXL,2020,14d,336,8784,8147,92.74817850637523
2880A,DSXL,2021,14d,336,8049,6918,85.94856503913529
2880A,DSXL,2015,30d,720,8760,5514,62.945205479452056
2880A,DSXL,2016,30d,720,8784,6669,75.92213114754098
2880A,DSXL,2017,30d,720,8760,7827,89.34931506849315
2880A,DSXL,2018,30d,720,8760,7544,86.11872146118722
2880A,DSXL,2019,30d,720,8760,7827,89.34931506849315
2880A,DSXL,2020,30d,720,8784,8125,92.49772313296903
2880A,DSXL,2021,30d,720,8049,6614,82.17169834762082
3136A,LQXQ,2015,48h,48,8760,4413,50.37671232876713
3136A,LQXQ,2017,48h,48,8760,6441,73.52739726027397
3136A,LQXQ,2018,48h,48,8760,7552,86.21004566210046
3136A,LQXQ,2019,48h,48,8760,7634,87.14611872146119
3136A,LQXQ,2020,48h,48,8784,8124,92.4863387978142
3136A,LQXQ,2021,48h,48,8049,7471,92.8189837246863
3136A,LQXQ,2015,72h,72,8760,4379,49.98858447488585
3136A,LQXQ,2017,72h,72,8760,6358,72.57990867579909
3136A,LQXQ,2018,72h,72,8760,7476,85.34246575342466
3136A,LQXQ,2019,72h,72,8760,7600,86.7579908675799
3136A,LQXQ,2020,72h,72,8784,8106,92.28142076502732
3136A,LQXQ,2021,72h,72,8049,7439,92.42141880979004
3136A,LQXQ,2015,7d,168,8760,4344,49.589041095890416
3136A,LQXQ,2017,7d,168,8760,6350,72.48858447488584
3136A,LQXQ,2018,7d,168,8760,7376,84.20091324200914
3136A,LQXQ,2019,7d,168,8760,7622,87.00913242009133
3136A,LQXQ,2020,7d,168,8784,8112,92.34972677595628
3136A,LQXQ,2021,7d,168,8049,7346,91.26599577587278
3136A,LQXQ,2015,14d,336,8760,4412,50.36529680365297
3136A,LQXQ,2017,14d,336,8760,6305,71.97488584474885
3136A,LQXQ,2018,14d,336,8760,7369,84.12100456621005
3136A,LQXQ,2019,14d,336,8760,7575,86.47260273972603
3136A,LQXQ,2020,14d,336,8784,8109,92.3155737704918
3136A,LQXQ,2021,14d,336,8049,7179,89.19120387625792
3136A,LQXQ,2015,30d,720,8760,4388,50.09132420091325
3136A,LQXQ,2017,30d,720,8760,6309,72.02054794520548
3136A,LQXQ,2018,30d,720,8760,7332,83.6986301369863
3136A,LQXQ,2019,30d,720,8760,7649,87.31735159817352
3136A,LQXQ,2020,30d,720,8784,8113,92.36111111111111
3136A,LQXQ,2021,30d,720,8049,6821,84.74344639085601
3358A,LJL,2015,48h,48,8760,5051,57.65981735159818
3358A,LJL,2016,48h,48,8784,5990,68.19216757741347
3358A,LJL,2017,48h,48,8760,6831,77.97945205479452
3358A,LJL,2018,48h,48,8760,6126,69.93150684931507
3358A,LJL,2019,48h,48,8760,7631,87.11187214611871
3358A,LJL,2020,48h,48,8784,8334,94.87704918032787
3358A,LJL,2021,48h,48,8049,7253,90.11057274195552
3358A,LJL,2015,72h,72,8760,5052,57.67123287671233
3358A,LJL,2016,72h,72,8784,6006,68.37431693989072
3358A,LJL,2017,72h,72,8760,6821,77.86529680365297
3358A,LJL,2018,72h,72,8760,6067,69.2579908675799
3358A,LJL,2019,72h,72,8760,7596,86.7123287671233
3358A,LJL,2020,72h,72,8784,8315,94.66074681238615
3358A,LJL,2021,72h,72,8049,7231,89.83724686296435
3358A,LJL,2015,7d,168,8760,5015,57.24885844748858
3358A,LJL,2016,7d,168,8784,6003,68.34016393442623
3358A,LJL,2017,7d,168,8760,6841,78.09360730593608
3358A,LJL,2018,7d,168,8760,5981,68.27625570776256
3358A,LJL,2019,7d,168,8760,7612,86.89497716894977
3358A,LJL,2020,7d,168,8784,8279,94.2509107468124
3358A,LJL,2021,7d,168,8049,7187,89.29059510498199
3358A,LJL,2015,14d,336,8760,5049,57.636986301369866
3358A,LJL,2016,14d,336,8784,5987,68.158014571949
3358A,LJL,2017,14d,336,8760,6832,77.99086757990867
3358A,LJL,2018,14d,336,8760,5990,68.37899543378995
3358A,LJL,2019,14d,336,8760,7577,86.49543378995433
3358A,LJL,2020,14d,336,8784,8263,94.06876138433515
3358A,LJL,2021,14d,336,8049,7042,87.48912908435831
3358A,LJL,2015,30d,720,8760,4994,57.009132420091326
3358A,LJL,2016,30d,720,8784,6031,68.65892531876139
3358A,LJL,2017,30d,720,8760,6815,77.79680365296804
3358A,LJL,2018,30d,720,8760,5923,67.61415525114155
3358A,LJL,2019,30d,720,8760,7615,86.92922374429224
3358A,LJL,2020,30d,720,8784,8249,93.90938069216757
3358A,LJL,2021,30d,720,8049,6708,83.3395452851286
