location_id,location_name,sensor_id,pollutant,units,latitude,longitude,distance_km,datetime_first,datetime_last,observed_count,overlaps_study_period
43623,车城东七路,237410,pm10,µg/m³,30.531900000000004,104.2394,16.218,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3486,False
43398,临江路,237841,pm10,µg/m³,30.6994,103.8458,21.444,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3439,False
43585,科学城,237722,so2,µg/m³,30.4072,104.0789,0.956,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3483,False
9803,三瓦窑,30651,so2,µg/m³,30.5767,104.0594,1.02,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19789,False
43425,华阳,237087,so2,µg/m³,30.522500000000004,104.0578,1.186,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3512,False
10049,君平街,32143,so2,µg/m³,30.6556,104.0431,2.574,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,20012,False
9053,沙河铺,26804,so2,µg/m³,30.630600000000005,104.11220000000002,4.038,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19825,False
10129,大石西路,32634,so2,µg/m³,30.6558,104.0219,4.602,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,20004,False
43632,金博路,236953,so2,µg/m³,30.693100000000005,104.0106,5.683,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3519,False
9992,十里店,31804,so2,µg/m³,30.6764,104.1419,6.878,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19551,False
9647,金泉两河,29835,so2,µg/m³,30.7236,103.9728,9.297,2018-10-17 12:00:00+00:00,2021-08-09 11:00:00+00:00,19792,False
43623,车城东七路,237840,so2,µg/m³,30.531900000000004,104.2394,16.218,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3475,False
43398,临江路,237911,so2,µg/m³,30.6994,103.8458,21.444,2020-12-31 17:00:00+00:00,2021-08-09 11:00:00+00:00,3448,False
