horizon,horizon_hours,n_predictions,mae,rmse,r2
24h,24,68098,17.726100619695146,25.814262228360295,0.2715504947787636
48h,48,67929,22.321217742054202,31.496679773525727,-0.07823627810556522
72h,72,67848,24.75204869708761,34.52394143388968,-0.3080956553413974
7d,168,67850,24.507059690493737,35.44610489528581,-0.37451574395841547
14d,336,67890,25.364781263809103,36.595809962615334,-0.46891840402123286
30d,720,67870,25.32027405333726,35.97848820307098,-0.43735751273233014
