horizon,horizon_hours,feature_count,train_samples,validation_samples,test_samples,train_mae,train_rmse,train_r2,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
24h,24,160,362210,76010,69898,14.340205509617013,19.6808008825657,0.8065470110977925,14.768150851159108,20.39507402788542,0.4935945430488088,15.524935053961789,21.81224733747797,0.48095400513358755
48h,48,160,362003,75795,69702,14.797996381796692,20.249750969430842,0.7948502204192197,17.80807959325506,24.276971601425295,0.27557951713646656,18.06834731662001,24.95871756080656,0.31425539283776505
72h,72,160,361787,75579,69520,15.020008520979355,20.625780281070533,0.7866874295102896,19.216480949117795,25.916019497197983,0.171364049410216,18.37618078987947,25.308824069067466,0.2897097883814336
7d,168,160,361067,74721,68732,15.074945089116873,20.705079892850566,0.783825383329574,19.7281768259994,26.362768831927013,0.12399291744646646,18.071312883982092,25.64641479794936,0.25879308039577253
14d,336,160,359656,73260,67248,15.078116729958287,20.645093021887565,0.782088530830094,20.46587594221955,27.592348546814062,0.02827011832954751,18.49233695127951,25.57813829069176,0.23868598762236948
30d,720,160,356399,69892,63866,15.031573976953528,20.64018377197083,0.7726629799540327,19.533378869327528,26.46971244466154,0.07588626676067822,17.456651369583795,24.76336771666189,0.17287273721710328
